H Mass Fractions
H Battino+ 2021, MDPI Universe
H Z=0.001, 0.002
 & specie & m2z1m3-bigpoc & m3z1m3-bigpoc & m2z2m3-bigpoc & \\ 
 & SM152  & 2.014E-11     & 3.234E-11     & 2.511E-10     & \\ 
 & SM154  & 6.112E-12     & 1.196E-11     & 2.415E-11     & \\ 
 & EU151  & 4.782E-12     & 6.760E-12     & 5.066E-11     & \\ 
 & EU153  & 5.381E-12     & 7.807E-12     & 5.505E-11     & \\ 
 & GD152  & 3.594E-13     & 8.335E-13     & 2.604E-11     & \\ 
 & GD154  & 7.060E-12     & 1.256E-11     & 1.229E-10     & \\ 
 & GD155  & 5.570E-12     & 8.813E-12     & 5.581E-11     & \\ 
 & GD156  & 1.563E-11     & 2.796E-11     & 2.325E-10     & \\ 
 & GD157  & 7.980E-12     & 1.370E-11     & 1.083E-10     & \\ 
 & GD158  & 2.714E-11     & 4.940E-11     & 4.588E-10     & \\ 
 & GD160  & 5.333E-12     & 9.788E-12     & 1.891E-11     & \\ 
 & TB159  & 7.804E-12     & 1.262E-11     & 1.024E-10     & \\ 
 & DY156  & 9.714E-15     & 9.882E-15     & 1.696E-14     & \\ 
 & DY158  & 1.743E-14     & 2.236E-14     & 2.240E-13     & \\ 
 & DY160  & 8.589E-12     & 1.615E-11     & 1.665E-10     & \\ 
 & DY161  & 7.508E-12     & 1.158E-11     & 8.383E-11     & \\ 
 & DY162  & 2.266E-11     & 3.863E-11     & 3.583E-10     & \\ 
 & DY163  & 9.927E-12     & 1.428E-11     & 1.091E-10     & \\ 
 & DY164  & 3.479E-11     & 4.944E-11     & 5.606E-10     & \\ 
 & HO165  & 2.477E-11     & 3.725E-11     & 3.132E-10     & \\ 
 & ER162  & 1.557E-14     & 1.584E-14     & 2.718E-14     & \\ 
 & ER164  & 4.116E-12     & 8.703E-12     & 7.452E-11     & \\ 
 & ER166  & 1.784E-11     & 2.885E-11     & 2.864E-10     & \\ 
 & ER167  & 8.906E-12     & 1.357E-11     & 1.222E-10     & \\ 
 & ER168  & 2.995E-11     & 4.740E-11     & 5.138E-10     & \\ 
 & ER170  & 7.889E-12     & 1.808E-11     & 5.040E-11     & \\ 
 & TM169  & 6.939E-12     & 1.029E-11     & 9.759E-11     & \\ 
 & YB168  & 1.532E-14     & 1.559E-14     & 2.676E-14     & \\ 
 & YB170  & 8.830E-12     & 1.377E-11     & 1.848E-10     & \\ 
 & YB171  & 1.137E-11     & 1.870E-11     & 1.642E-10     & \\ 
 & YB172  & 2.965E-11     & 4.931E-11     & 5.118E-10     & \\ 
 & YB173  & 1.493E-11     & 2.432E-11     & 2.410E-10     & \\ 
 & YB174  & 6.619E-11     & 1.076E-10     & 1.142E-09     & \\ 
 & YB176  & 2.702E-11     & 3.887E-11     & 5.049E-10     & \\ 
 & LU175  & 1.032E-11     & 1.594E-11     & 1.548E-10     & \\ 
 & LU176  & 7.158E-12     & 1.138E-11     & 1.293E-10     & \\ 
 & HF174  & 1.192E-14     & 1.212E-14     & 2.083E-14     & \\ 
 & HF176  & 3.238E-12     & 4.990E-12     & 7.053E-11     & \\ 
 & HF177  & 9.239E-12     & 1.391E-11     & 1.408E-10     & \\ 
 & HF178  & 3.743E-11     & 5.949E-11     & 6.148E-10     & \\ 
 & HF179  & 1.327E-11     & 2.111E-11     & 2.094E-10     & \\ 
 & HF180  & 7.150E-11     & 1.175E-10     & 1.225E-09     & \\ 
 & TA180  & 2.424E-16     & 2.633E-16     & 4.246E-16     & \\ 
 & TA181  & 1.589E-11     & 2.527E-11     & 2.401E-10     & \\ 
 & W 180  & 9.578E-15     & 1.492E-14     & 5.245E-14     & \\ 
 & W 182  & 3.490E-11     & 5.604E-11     & 6.293E-10     & \\ 
 & W 183  & 1.974E-11     & 3.093E-11     & 3.370E-10     & \\ 
 & W 184  & 5.097E-11     & 8.192E-11     & 8.171E-10     & \\ 
 & W 186  & 1.621E-11     & 3.503E-11     & 1.251E-10     & \\ 
 & RE185  & 1.059E-11     & 1.730E-11     & 1.510E-10     & \\ 
 & RE187  & 5.474E-12     & 9.852E-12     & 4.081E-11     & \\ 
 & OS184  & 6.882E-15     & 6.999E-15     & 1.207E-14     & \\ 
 & OS186  & 2.027E-11     & 3.289E-11     & 3.759E-10     & \\ 
 & OS187  & 6.278E-12     & 1.021E-11     & 1.107E-10     & \\ 
 & OS188  & 4.210E-11     & 7.481E-11     & 6.470E-10     & \\ 
 & OS189  & 1.345E-11     & 2.029E-11     & 1.388E-10     & \\ 
 & OS190  & 4.917E-11     & 8.258E-11     & 6.886E-10     & \\ 
 & OS192  & 2.747E-11     & 4.568E-11     & 1.320E-10     & \\ 
 & IR191  & 2.011E-11     & 2.611E-11     & 1.393E-10     & \\ 
 & IR193  & 3.096E-11     & 3.993E-11     & 1.827E-10     & \\ 
 & PT190  & 9.766E-15     & 9.929E-15     & 1.716E-14     & \\ 
 & PT192  & 1.164E-11     & 2.026E-11     & 2.355E-10     & \\ 
 & PT194  & 5.451E-11     & 8.271E-11     & 5.711E-10     & \\ 
 & PT195  & 3.760E-11     & 4.890E-11     & 2.620E-10     & \\ 
 & PT196  & 7.972E-11     & 1.249E-10     & 1.046E-09     & \\ 
 & PT198  & 7.028E-12     & 1.206E-11     & 1.746E-11     & \\ 
 & AU197  & 2.895E-11     & 4.237E-11     & 3.136E-10     & \\ 
 & HG196  & 2.921E-14     & 2.964E-14     & 5.215E-14     & \\ 
 & HG198  & 6.012E-11     & 1.016E-10     & 9.702E-10     & \\ 
 & HG199  & 2.963E-11     & 4.980E-11     & 4.310E-10     & \\ 
 & HG200  & 9.396E-11     & 1.659E-10     & 1.489E-09     & \\ 
 & HG201  & 4.097E-11     & 7.343E-11     & 6.210E-10     & \\ 
 & HG202  & 1.711E-10     & 3.013E-10     & 2.706E-09     & \\ 
 & HG204  & 6.711E-12     & 1.037E-11     & 8.233E-11     & \\ 
 & TL203  & 7.696E-11     & 1.409E-10     & 1.146E-09     & \\ 
 & TL205  & 1.862E-10     & 2.392E-10     & 2.905E-09     & \\ 
 & PB204  & 1.024E-10     & 1.864E-10     & 1.693E-09     & \\ 
 & PB208  & 6.725E-08     & 5.728E-08     & 7.485E-08     & \\ 
 & BI209  & 9.204E-10     & 1.197E-09     & 8.431E-10     & \\ 
