# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e
#
# 
name    r	x 	sigma	sigma_err t   t_err	[Z/H]   [Z/H]_err	IMF	IMF_err   [O/Fe]    [O/Fe]_err	[Mg/Fe]     [Mg/Fe]_err	[Si/Fe]     [Si/Fe]_err		[Ca/Fe]     [Ca/Fe]_err		[Ti/Fe]     [Ti/Fe]_err		[Fe/H]      [Fe/H]_err		[Na/Fe]     [Na/Fe]_err		[C/Fe]      [C/Fe]_err		[N/Fe]      [N/Fe]_err		
# (km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC7796     0.030	0.015	246 +2	12.9 +0.6	0.01 +0.02	2.3 +0.2	0.35 +0.04	0.25 +0.03	0.12 +0.04	0.05 +0.04	0.09 +0.04	-0.00 +0.02	0.55 +0.03	0.21 +0.03	0.25 +0.04	
NGC7796     0.056	0.050	241 +2	12.7 +0.8	-0.01 +0.02	2.4 +0.2	0.31 +0.04	0.25 +0.03	0.12 +0.04	0.06 +0.04	0.10 +0.04	-0.00 +0.02	0.50 +0.04	0.19 +0.03	0.23 +0.05	
NGC7796     0.101	0.098	236 +2	12.9 +0.6	-0.05 +0.02	2.4 +0.2	0.34 +0.04	0.25 +0.02	0.12 +0.03	0.07 +0.04	0.10 +0.04	0.00 +0.02	0.44 +0.05	0.20 +0.02	0.21 +0.05	
NGC7796     0.189	0.188	234 +2	12.9 +0.6	-0.08 +0.02	2.5 +0.2	0.30 +0.04	0.23 +0.02	0.12 +0.04	0.02 +0.04	0.10 +0.04	0.02 +0.02	0.35 +0.03	0.18 +0.03	0.16 +0.05	
NGC7796     0.376	0.375	228 +2	13.0 +0.6	-0.13 +0.02	2.3 +0.3	0.27 +0.05	0.22 +0.03	0.09 +0.04	0.01 +0.05	0.11 +0.04	0.01 +0.02	0.32 +0.03	0.16 +0.03	0.08 +0.06	
NGC7796     0.626	0.625	214 +3	13.4 +0.4	-0.20 +0.02	2.2 +0.2	0.33 +0.05	0.22 +0.03	0.10 +0.04	0.02 +0.05	0.11 +0.04	0.00 +0.02	0.32 +0.03	0.19 +0.03	-0.00 +0.11	
NGC7796     0.875	0.875	215 +3	13.5 +0.5	-0.23 +0.02	2.2 +0.3	0.39 +0.05	0.19 +0.03	0.17 +0.04	0.05 +0.07	0.12 +0.05	-0.03 +0.02	0.32 +0.03	0.23 +0.03	0.16 +0.12	
UGC1382     0.028	0.016	182 +3	9.5 +0.9	-0.05 +0.02	3.1 +0.2	0.24 +0.08	0.29 +0.04	0.22 +0.06	0.15 +0.04	0.19 +0.05	-0.02 +0.03	0.06 +0.16	0.23 +0.03	-0.36 +0.09	
UGC1382     0.052	0.047	179 +3	10.9 +1.4	-0.05 +0.03	2.4 +0.4	0.51 +0.04	0.26 +0.05	0.31 +0.06	0.17 +0.05	0.36 +0.05	-0.08 +0.03	0.23 +0.15	0.35 +0.04	-0.32 +0.07	
UGC1382     0.097	0.094	173 +3	9.7 +1.0	-0.05 +0.03	3.2 +0.1	0.27 +0.09	0.26 +0.05	0.21 +0.07	0.00 +0.06	0.22 +0.05	-0.04 +0.03	0.33 +0.15	0.25 +0.04	-0.34 +0.09	
UGC1382     0.189	0.188	157 +3	10.5 +1.3	-0.07 +0.03	2.7 +0.3	0.19 +0.08	0.17 +0.05	0.33 +0.06	0.15 +0.06	0.17 +0.06	-0.11 +0.03	0.26 +0.18	0.18 +0.04	-0.13 +0.16	
UGC1382     0.376	0.375	139 +4	11.2 +1.4	-0.12 +0.04	2.7 +0.3	0.45 +0.08	0.27 +0.05	0.37 +0.06	0.11 +0.07	0.14 +0.08	-0.13 +0.03	0.08 +0.20	0.27 +0.05	-0.07 +0.18	
UGC1382     0.625	0.625	142 +8	8.7 +1.4	-0.23 +0.05	3.3 +0.1	0.45 +0.07	0.32 +0.09	0.40 +0.09	-0.05 +0.14	0.33 +0.10	-0.04 +0.07	-0.27 +0.23	0.29 +0.08	0.07 +0.23	
IC1459  0.012	0.004	307 +8	13.1 +0.9	0.13 +0.02	2.2 +0.4	0.44 +0.07	0.20 +0.05	0.20 +0.14	0.04 +0.07	0.07 +0.06	-0.07 +0.03	0.77 +0.06	0.25 +0.03	0.38 +0.09	
IC1459  0.023	0.020	295 +11	13.5 +0.7	0.09 +0.05	2.3 +0.4	0.37 +0.05	0.21 +0.06	0.16 +0.08	0.02 +0.06	0.08 +0.08	-0.01 +0.03	0.69 +0.07	0.21 +0.04	0.28 +0.11	
IC1459  0.048	0.047	290 +8	12.9 +0.7	0.06 +0.04	2.4 +0.5	0.35 +0.04	0.21 +0.05	0.15 +0.11	0.03 +0.05	0.10 +0.08	-0.01 +0.03	0.60 +0.06	0.20 +0.03	0.21 +0.07	
IC1459  0.094	0.094	284 +9	12.4 +1.1	0.02 +0.06	2.2 +0.5	0.37 +0.05	0.22 +0.05	0.16 +0.10	0.07 +0.07	0.08 +0.10	-0.03 +0.04	0.57 +0.05	0.22 +0.04	0.16 +0.08	
IC1459  0.188	0.188	272 +13	11.6 +1.7	-0.09 +0.05	1.9 +0.5	0.42 +0.05	0.21 +0.07	0.15 +0.09	0.05 +0.05	-0.06 +0.09	-0.03 +0.03	0.45 +0.09	0.23 +0.03	0.17 +0.11	
IC1459  0.375	0.375	252 +14	8.7 +1.7	-0.24 +0.06	1.8 +0.4	0.45 +0.07	0.24 +0.10	0.09 +0.12	-0.02 +0.09	-0.14 +0.11	-0.04 +0.06	0.37 +0.07	0.22 +0.06	0.03 +0.20	
IC1459  0.625	0.625	256 +13	7.8 +3.0	-0.31 +0.18	2.1 +0.4	0.43 +0.07	0.19 +0.07	-0.16 +0.13	-0.17 +0.07	-0.27 +0.09	-0.04 +0.05	0.38 +0.08	0.21 +0.05	-0.04 +0.21	
IC1459  0.875	0.875	251 +17	6.5 +2.6	-0.32 +0.21	2.4 +0.5	0.45 +0.13	0.21 +0.13	-0.13 +0.19	-0.09 +0.14	-0.31 +0.12	-0.09 +0.11	0.38 +0.14	0.23 +0.12	-0.10 +0.24	
