f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 28646 ,-0.37 ,0.02 ,,,,,-0.33 ,0.07 ,-0.36 ,0.05 ,-0.22 ,0.09 ,-0.33 ,0.06 ,-0.38 ,0.05 ,90.7375915 ,82.7514236 ,-0.147 ,11.432 ,89.886 ,90.61 ,thin ,F8 ,7.54 ,0.489 ,37.90 ,-30.00 ,2.90 ,6198.0 ,4.32 ,1.21 ,2.23 ,
HIP 28671 ,-0.98 ,0.18 ,-0.98 ,0.42 ,-0.56 ,0.50 ,-0.70 ,0.70 ,-0.75 ,0.60 ,,,-0.75 ,0.57 ,-0.66 ,0.53 ,90.8119317 ,19.3607489 ,-0.782 ,55.149 ,19.380 ,58.46 ,thick ,G0.V ,9.28 ,0.646 ,229.50 ,-203.80 ,81.90 ,5582.4 ,4.44 ,0.96 ,1.00 ,
HIP 28675 ,-0.55 ,0.04 ,,,,,,,-0.38 ,0.05 ,,,-0.35 ,0.06 ,-0.35 ,0.05 ,90.8150153 ,-26.2845428 ,-1.588 ,111.625 ,-55.137 ,124.51 ,thick ,K4III ,5.03 ,1.335 ,-142.40 ,-129.10 ,-17.20 ,4254.0 ,0.90 ,,29.18 ,
2MASS 00155080+0112016 ,0.23 ,0.26 ,-0.05 ,0.09 ,-0.08 ,0.09 ,,,0.18 ,0.05 ,,,0.23 ,0.06 ,0.54 ,0.05 ,3.9616989 ,1.2004414 ,275.274 ,19.064 ,5.782 ,275.99 ,N/A ,,,,,,,5925.3 ,4.53 ,1.30 ,1.03 ,
HIP 28677 ,-0.12 ,0.02 ,-0.15 ,0.08 ,-0.06 ,0.16 ,0.02 ,0.08 ,-0.04 ,0.08 ,0.32 ,0.02 ,-0.08 ,0.06 ,-0.12 ,0.04 ,90.8248038 ,42.9114976 ,-0.685 ,47.587 ,44.243 ,64.98 ,thin ,K0III ,6.08 ,0.979 ,-40.90 ,-48.30 ,15.30 ,4836.2 ,2.71 ,,7.07 ,
HIP 61449 ,0.04 ,0.04 ,,,,,0.20 ,0.07 ,0.12 ,0.05 ,,,-0.02 ,0.06 ,-0.12 ,0.05 ,188.8883182 ,-12.0210902 ,-175.417 ,-27.433 ,-37.808 ,181.53 ,N/A ,K0III ,6.70 ,0.938 ,,,,5036.5 ,2.91 ,,9.01 ,
2MASS 12330390+4454552 ,0.30 ,0.04 ,0.15 ,0.09 ,0.13 ,0.09 ,0.30 ,0.07 ,0.25 ,0.05 ,0.05 ,0.09 ,0.26 ,0.06 ,0.28 ,0.05 ,188.2662755 ,44.9153322 ,-206.327 ,-29.976 ,207.878 ,294.42 ,N/A ,,,,,,,5476.4 ,4.37 ,0.98 ,1.07 ,
HIP 94244 ,0.22 ,0.10 ,0.27 ,0.11 ,0.13 ,0.12 ,0.36 ,0.14 ,0.22 ,0.04 ,0.61 ,0.09 ,0.26 ,0.03 ,0.19 ,0.06 ,287.7581987 ,-25.8139316 ,12.797 ,-39.960 ,-20.296 ,46.61 ,N/A ,K0 ,9.16 ,0.866 ,,,,5185.0 ,4.53 ,0.88 ,0.89 ,
B-15 06276 ,0.04 ,0.04 ,0.00 ,0.09 ,-0.09 ,0.09 ,0.04 ,0.07 ,0.03 ,0.05 ,,,0.09 ,0.06 ,0.06 ,0.05 ,342.0315153 ,-14.4946784 ,127.709 ,-41.418 ,-34.708 ,138.67 ,N/A ,,,,,,,5390.0 ,4.48 ,0.94 ,0.93 ,
HIP 94256 ,0.33 ,0.08 ,0.39 ,0.11 ,0.16 ,0.02 ,0.31 ,0.16 ,0.32 ,0.10 ,0.21 ,0.01 ,0.27 ,0.12 ,0.31 ,0.14 ,287.7909524 ,-2.6383856 ,19.940 ,-62.140 ,-3.007 ,65.33 ,thin ,G5IV ,7.95 ,0.744 ,42.00 ,-25.00 ,22.40 ,5674.5 ,4.14 ,1.00 ,1.76 ,
2MASS 19211530+3840187 ,0.08 ,0.04 ,-0.01 ,0.09 ,-0.08 ,0.09 ,-0.28 ,0.07 ,-0.16 ,0.05 ,,,0.24 ,0.06 ,-0.10 ,0.05 ,290.3138147 ,38.6718663 ,77.564 ,-209.529 ,178.817 ,286.17 ,N/A ,,,,,,,4956.0 ,4.64 ,0.99 ,0.79 ,
HIP 61505 ,-0.06 ,0.02 ,0.08 ,0.07 ,0.03 ,0.16 ,0.10 ,0.09 ,0.02 ,0.02 ,0.03 ,0.08 ,-0.02 ,0.04 ,0.06 ,0.06 ,189.0274360 ,-42.8523010 ,-34.406 ,-5.466 ,-32.319 ,47.52 ,thin ,G5V ,7.89 ,0.666 ,-3.20 ,-56.60 ,0.60 ,5720.0 ,4.28 ,1.05 ,1.16 ,
2MASS 18451858+4735055 ,-0.02 ,0.04 ,-0.05 ,0.09 ,-0.06 ,0.09 ,-0.06 ,0.07 ,-0.03 ,0.05 ,,,0.00 ,0.06 ,-0.04 ,0.05 ,281.3274659 ,47.5849073 ,28.296 ,-141.255 ,157.684 ,213.58 ,N/A ,,,,,,,5378.1 ,4.46 ,0.91 ,0.84 ,
HD 174704 ,0.60 ,0.04 ,,,,,0.01 ,0.07 ,0.57 ,0.05 ,,,0.05 ,0.06 ,,,283.0274863 ,-9.0826574 ,46.222 ,-199.771 ,-32.780 ,207.65 ,N/A ,,,,,,,6387.9 ,3.34 ,1.41 ,4.22 ,
HIP 28764 ,0.06 ,0.04 ,0.01 ,0.09 ,0.17 ,0.09 ,-0.04 ,0.07 ,-0.01 ,0.05 ,,,0.12 ,0.06 ,0.03 ,0.05 ,91.1184971 ,-45.0366035 ,-0.367 ,18.772 ,-18.800 ,26.57 ,thin ,F9VFe-0.4 ,6.35 ,0.517 ,-38.10 ,-12.00 ,-15.40 ,6171.3 ,4.38 ,1.18 ,1.16 ,
HIP 94302 ,0.18 ,0.16 ,-0.09 ,0.06 ,0.02 ,0.08 ,0.15 ,0.08 ,0.31 ,0.21 ,0.82 ,0.09 ,0.10 ,0.10 ,0.12 ,0.09 ,287.9190871 ,56.8592055 ,17.729 ,-54.827 ,88.255 ,105.40 ,thin ,G8III ,5.13 ,1.008 ,-31.10 ,-9.60 ,-17.30 ,4916.8 ,2.74 ,,14.34 ,
HIP 28767 ,0.23 ,0.10 ,0.20 ,0.12 ,0.15 ,0.40 ,0.17 ,0.11 ,0.20 ,0.09 ,0.23 ,0.14 ,0.21 ,0.20 ,0.21 ,0.17 ,91.1247631 ,44.2604428 ,-0.465 ,23.701 ,23.101 ,33.10 ,thin ,F7V ,6.74 ,0.573 ,-36.60 ,-21.60 ,8.50 ,6076.7 ,4.41 ,1.16 ,1.24 ,
HIP 28769 ,0.07 ,0.01 ,,,,,0.31 ,0.07 ,0.23 ,0.05 ,,,0.22 ,0.06 ,0.09 ,0.05 ,91.1266428 ,-45.1966333 ,-2.466 ,125.380 ,-126.268 ,177.96 ,thin ,G8Ib/II ,6.92 ,0.969 ,3.70 ,12.40 ,10.00 ,5056.5 ,,,10.17 ,
HIP 61539 ,-0.33 ,0.04 ,-0.23 ,0.03 ,-0.14 ,0.06 ,-0.19 ,0.07 ,-0.26 ,0.02 ,-0.29 ,0.01 ,-0.24 ,0.05 ,-0.25 ,0.05 ,189.1185118 ,10.7298358 ,-74.659 ,-11.983 ,14.328 ,76.96 ,thin ,G0 ,8.71 ,0.590 ,8.80 ,1.00 ,-18.70 ,6008.0 ,4.33 ,1.10 ,1.28 ,
HIP 61546 ,0.14 ,0.06 ,0.10 ,0.07 ,0.06 ,0.01 ,0.04 ,0.07 ,0.02 ,0.05 ,,,0.08 ,0.06 ,0.04 ,0.05 ,189.1654978 ,25.7915480 ,-104.213 ,-16.814 ,51.011 ,117.24 ,thin ,G0 ,9.12 ,0.688 ,31.00 ,-35.90 ,-16.80 ,5782.0 ,3.98 ,1.04 ,1.91 ,
2MASS 19100162+4422298 ,-0.26 ,0.04 ,0.02 ,0.02 ,0.15 ,0.08 ,0.03 ,0.06 ,0.03 ,0.05 ,-0.34 ,0.12 ,0.02 ,0.11 ,-0.19 ,0.05 ,287.5067606 ,44.3749502 ,71.150 ,-225.567 ,231.418 ,330.90 ,N/A ,,,,,,,7169.8 ,3.60 ,1.58 ,1.70 ,
2MASS 19310830+4312575 ,0.19 ,0.04 ,0.12 ,0.09 ,0.07 ,0.09 ,0.11 ,0.07 ,0.14 ,0.05 ,,,0.22 ,0.06 ,0.14 ,0.05 ,292.7845827 ,43.2159864 ,141.821 ,-337.633 ,344.085 ,502.50 ,N/A ,,,,,,,5526.3 ,4.51 ,1.00 ,1.00 ,
HIP 94346 ,0.22 ,0.20 ,0.08 ,0.24 ,-0.21 ,0.18 ,0.14 ,0.13 ,0.18 ,0.11 ,0.34 ,0.09 ,0.23 ,0.07 ,0.16 ,0.09 ,288.0473196 ,57.6719797 ,3.317 ,-10.179 ,16.917 ,20.02 ,thin ,G8V ,7.04 ,0.804 ,-44.00 ,-22.30 ,-15.60 ,5401.7 ,4.51 ,0.94 ,0.88 ,
HIP 94347 ,-0.58 ,0.02 ,,,-0.50 ,0.09 ,-0.50 ,0.07 ,-0.62 ,0.05 ,,,-0.54 ,0.06 ,-0.63 ,0.05 ,288.0493685 ,-83.4837113 ,1.677 ,-5.145 ,-47.372 ,47.68 ,thin ,F5V ,7.26 ,0.444 ,-42.70 ,2.50 ,-17.60 ,6443.0 ,4.22 ,,1.38 ,
HIP 61580 ,-0.02 ,0.02 ,-0.11 ,0.05 ,,,-0.03 ,0.07 ,-0.08 ,0.05 ,0.01 ,0.09 ,0.05 ,0.06 ,0.05 ,0.05 ,189.2853057 ,-41.9953878 ,-38.169 ,-6.240 ,-34.818 ,52.04 ,thin ,G5V ,8.92 ,0.710 ,17.70 ,-14.20 ,-4.30 ,5637.6 ,4.47 ,1.01 ,0.88 ,
HIP 61589 ,0.06 ,0.10 ,,,,,0.07 ,0.07 ,-0.06 ,0.02 ,,,0.01 ,0.06 ,0.06 ,0.05 ,189.3070360 ,35.7460338 ,-64.579 ,-10.583 ,47.104 ,80.63 ,N/A ,G5V ,9.69 ,0.671 ,,,,5644.7 ,4.39 ,1.02 ,1.01 ,
2MASS 22220308+4527265 ,0.22 ,0.04 ,0.08 ,0.09 ,0.28 ,0.09 ,0.10 ,0.07 ,0.14 ,0.05 ,,,0.25 ,0.06 ,0.17 ,0.05 ,335.5128649 ,45.4573661 ,296.493 ,-135.039 ,331.041 ,464.47 ,N/A ,,,,,,,5560.3 ,3.92 ,1.14 ,2.09 ,
HIP 94361 ,-0.44 ,0.14 ,,,,,-0.37 ,0.07 ,-0.48 ,0.05 ,,,-0.37 ,0.06 ,-0.43 ,0.05 ,288.0941916 ,73.8923536 ,39.655 ,-121.368 ,442.143 ,460.21 ,thin ,M3III ,7.26 ,1.647 ,-31.00 ,-15.20 ,10.30 ,3710.7 ,,,89.26 ,
HIP 61595 ,0.25 ,0.05 ,0.39 ,0.10 ,0.17 ,0.12 ,0.34 ,0.08 ,0.26 ,0.06 ,0.20 ,0.06 ,0.26 ,0.03 ,0.27 ,0.05 ,189.3182438 ,-40.8121184 ,-41.780 ,-6.855 ,-36.561 ,55.94 ,thin ,G3V ,8.08 ,0.714 ,-41.50 ,-11.50 ,-8.60 ,5805.5 ,4.29 ,1.06 ,1.30 ,
HIP 61597 ,0.33 ,0.18 ,0.36 ,0.09 ,0.17 ,0.14 ,0.26 ,0.07 ,0.43 ,0.09 ,0.40 ,0.09 ,0.35 ,0.04 ,0.31 ,0.04 ,189.3304200 ,79.2155668 ,-6.533 ,-1.073 ,34.755 ,35.38 ,thin ,G2V ,6.99 ,0.633 ,-10.30 ,-21.90 ,-13.90 ,5994.0 ,4.52 ,1.09 ,1.24 ,
HIP 94370 ,-0.02 ,0.05 ,-0.02 ,0.08 ,-0.04 ,0.08 ,0.02 ,0.05 ,-0.06 ,0.02 ,-0.03 ,0.03 ,-0.02 ,0.04 ,-0.02 ,0.08 ,288.1142447 ,-5.4145408 ,16.389 ,-50.101 ,-4.996 ,52.95 ,thin ,G0V ,8.06 ,0.561 ,19.70 ,-3.10 ,-7.20 ,6121.8 ,4.59 ,1.16 ,1.07 ,
2MASS 19253263+4159249 ,0.08 ,0.02 ,0.06 ,0.08 ,0.05 ,0.05 ,0.06 ,0.02 ,0.07 ,0.03 ,0.17 ,0.09 ,0.10 ,0.01 ,0.07 ,0.01 ,291.3860137 ,41.9902625 ,82.568 ,-210.839 ,203.809 ,304.64 ,N/A ,,,,,,,5622.4 ,4.08 ,1.06 ,1.56 ,
HIP 94376 ,-0.09 ,0.12 ,-0.24 ,0.06 ,0.02 ,0.11 ,-0.02 ,0.06 ,-0.01 ,0.11 ,0.19 ,0.09 ,-0.09 ,0.02 ,-0.09 ,0.04 ,288.1387441 ,67.6615358 ,3.534 ,-10.789 ,27.628 ,29.87 ,thin ,G9III ,3.07 ,0.990 ,-20.00 ,23.70 ,1.10 ,4710.0 ,2.66 ,,,
HIP 28842 ,-0.31 ,0.04 ,-0.10 ,0.09 ,0.13 ,0.09 ,-0.21 ,0.07 ,-0.29 ,0.05 ,-0.18 ,0.09 ,-0.21 ,0.06 ,-0.17 ,0.05 ,,,-0.614 ,26.714 ,93.185 ,96.94 ,thin ,F9V ,7.43 ,0.541 ,8.50 ,-18.70 ,-29.50 ,6123.2 ,4.30 ,,2.76 ,
HIP 61619 ,0.03 ,0.04 ,,,,,-0.05 ,0.07 ,0.04 ,0.05 ,,,0.06 ,0.06 ,-0.04 ,0.05 ,189.4130323 ,38.6843760 ,-43.202 ,-7.162 ,35.064 ,56.10 ,thin ,F5V ,7.34 ,0.495 ,14.80 ,-17.70 ,-10.70 ,6329.6 ,4.26 ,1.27 ,1.36 ,
HIP 94389 ,0.00 ,0.04 ,-0.12 ,0.09 ,,,-0.37 ,0.07 ,-0.01 ,0.05 ,-0.24 ,0.09 ,-0.07 ,0.06 ,,,288.1791604 ,-25.6693955 ,15.598 ,-47.500 ,-24.028 ,55.47 ,N/A ,G1/2V ,8.57 ,0.579 ,,,,5960.0 ,4.46 ,1.11 ,1.02 ,
HIP 61631 ,-0.35 ,0.04 ,,,,,-0.18 ,0.07 ,-0.30 ,0.05 ,,,-0.20 ,0.06 ,,,189.4853083 ,54.8531233 ,-118.086 ,-19.730 ,170.053 ,207.97 ,N/A ,G9III ,6.89 ,0.933 ,,,,4987.7 ,2.34 ,,10.65 ,
HIP 28869 ,0.17 ,0.04 ,0.05 ,0.09 ,-0.02 ,0.09 ,-0.03 ,0.07 ,0.15 ,0.05 ,0.08 ,0.09 ,0.13 ,0.06 ,0.20 ,0.05 ,91.4250695 ,-61.7485822 ,-0.537 ,21.601 ,-40.212 ,45.65 ,thin ,G0V ,7.84 ,0.595 ,-3.10 ,9.70 ,-7.10 ,6077.7 ,4.45 ,1.15 ,1.06 ,
HD 189251 ,-0.14 ,0.04 ,-0.15 ,0.09 ,0.06 ,0.09 ,-0.12 ,0.07 ,-0.11 ,0.05 ,,,-0.26 ,0.06 ,-0.31 ,0.05 ,299.0193248 ,56.8909411 ,105.593 ,-190.343 ,333.790 ,398.49 ,N/A ,,,,,,,5181.2 ,,,14.72 ,
HIP 94417 ,0.12 ,0.02 ,0.19 ,0.03 ,0.00 ,0.09 ,0.14 ,0.07 ,0.12 ,0.05 ,0.10 ,0.09 ,0.12 ,0.06 ,0.18 ,0.05 ,288.2537564 ,-49.9028313 ,11.407 ,-34.584 ,-43.250 ,56.54 ,thin ,G3/5IV ,8.36 ,0.687 ,-41.50 ,21.90 ,-41.10 ,5736.2 ,4.41 ,1.03 ,1.08 ,
HIP 61662 ,0.42 ,0.03 ,0.20 ,0.06 ,0.35 ,0.09 ,0.29 ,0.07 ,0.37 ,0.05 ,,,0.40 ,0.06 ,0.31 ,0.05 ,189.6061818 ,14.8724139 ,-74.044 ,-12.532 ,19.943 ,77.70 ,thin ,G0 ,7.64 ,0.607 ,-11.70 ,-7.50 ,-12.00 ,6027.7 ,4.08 ,1.13 ,1.80 ,
HIP 94436 ,0.20 ,0.04 ,,,,,,,0.22 ,0.05 ,,,0.35 ,0.06 ,0.30 ,0.05 ,288.3140945 ,15.0356336 ,134.221 ,-405.512 ,114.739 ,442.29 ,N/A ,G5Ib ,6.70 ,1.394 ,,,,4256.7 ,1.90 ,,36.78 ,
HIP 28902 ,-0.09 ,0.04 ,-0.13 ,0.09 ,-0.11 ,0.09 ,-0.13 ,0.07 ,-0.11 ,0.05 ,,,-0.06 ,0.06 ,-0.13 ,0.05 ,91.5241394 ,69.4761763 ,-0.314 ,11.811 ,31.561 ,33.70 ,thin ,G6V ,8.29 ,0.783 ,2.90 ,-3.20 ,-26.80 ,5260.2 ,4.53 ,0.90 ,0.81 ,
HIP 28908 ,-0.14 ,0.11 ,-0.14 ,0.09 ,0.00 ,0.09 ,-0.08 ,0.10 ,-0.12 ,0.04 ,-0.36 ,0.13 ,-0.08 ,0.06 ,-0.05 ,0.04 ,91.5355629 ,35.3877390 ,-0.560 ,20.879 ,14.837 ,25.62 ,thin ,G0V ,6.12 ,0.600 ,10.30 ,-25.00 ,-31.70 ,5909.8 ,4.14 ,1.07 ,1.36 ,
HIP 94447 ,0.25 ,0.02 ,,,,,0.24 ,0.07 ,0.21 ,0.05 ,0.28 ,0.09 ,0.27 ,0.06 ,0.19 ,0.05 ,288.3275567 ,34.4805933 ,33.451 ,-100.982 ,73.059 ,129.05 ,thin ,F7III ,7.69 ,0.541 ,6.90 ,-26.90 ,-21.40 ,6216.0 ,3.91 ,1.30 ,2.66 ,
HIP 28913 ,0.21 ,0.02 ,0.35 ,0.09 ,0.16 ,0.09 ,0.29 ,0.07 ,0.19 ,0.01 ,0.01 ,0.09 ,0.25 ,0.06 ,0.22 ,0.01 ,91.5482612 ,-45.8159749 ,-1.033 ,38.235 ,-39.355 ,54.88 ,thin ,F7V ,7.24 ,0.551 ,13.50 ,-15.80 ,5.90 ,6145.8 ,4.21 ,1.19 ,1.67 ,
HIP 94449 ,-1.00 ,0.13 ,-0.83 ,0.24 ,-0.35 ,0.32 ,-0.66 ,0.10 ,-0.78 ,0.10 ,,,-0.78 ,0.08 ,-0.92 ,0.10 ,288.3363291 ,-0.5950903 ,40.253 ,-121.456 ,-1.329 ,127.96 ,thick ,F5V ,9.18 ,0.538 ,138.20 ,-304.80 ,51.60 ,5914.7 ,3.99 ,1.00 ,1.43 ,
HIP 61687 ,0.09 ,0.04 ,-0.05 ,0.09 ,,,0.06 ,0.07 ,0.09 ,0.05 ,0.04 ,0.09 ,0.08 ,0.06 ,0.17 ,0.05 ,189.6844388 ,-5.3276686 ,-40.339 ,-6.884 ,-3.816 ,41.10 ,thin ,K1/2III+K1/3 ,8.52 ,0.894 ,67.90 ,5.00 ,12.80 ,5192.0 ,4.52 ,0.88 ,0.86 ,
HIP 94465 ,0.28 ,0.04 ,0.14 ,0.09 ,0.24 ,0.09 ,0.14 ,0.07 ,0.08 ,0.05 ,,,0.25 ,0.06 ,0.18 ,0.05 ,288.4008900 ,34.9145420 ,32.501 ,-97.696 ,71.865 ,125.56 ,thin ,K0 ,7.93 ,0.915 ,-15.30 ,-2.20 ,11.30 ,5138.0 ,3.54 ,,4.54 ,
HIP 61698 ,0.09 ,0.04 ,0.01 ,0.09 ,-0.11 ,0.09 ,-0.03 ,0.07 ,0.07 ,0.05 ,-0.10 ,0.09 ,0.06 ,0.06 ,0.13 ,0.05 ,189.7045634 ,-51.2155955 ,-35.403 ,-6.055 ,-44.697 ,57.34 ,thin ,G0V ,8.34 ,0.583 ,-18.30 ,-3.20 ,-2.40 ,5874.0 ,4.48 ,1.13 ,1.01 ,
HIP 28940 ,-0.67 ,0.11 ,,,,,-0.25 ,0.07 ,-0.37 ,0.05 ,,,-0.22 ,0.06 ,0.01 ,0.17 ,91.6249709 ,4.5114709 ,-1.617 ,56.990 ,4.498 ,57.19 ,thick ,K4 ,10.88 ,1.009 ,59.10 ,-201.90 ,-68.40 ,4780.8 ,4.66 ,0.74 ,0.66 ,
HIP 28941 ,0.23 ,0.17 ,0.48 ,0.09 ,0.48 ,0.09 ,0.39 ,0.15 ,0.19 ,0.04 ,,,0.25 ,0.08 ,0.24 ,0.06 ,91.6243636 ,-72.5126576 ,-0.393 ,13.853 ,-43.988 ,46.12 ,thin ,K0IV/V ,9.10 ,0.900 ,88.70 ,-11.50 ,-14.20 ,5105.5 ,4.43 ,0.86 ,0.90 ,
HIP 61719 ,0.07 ,0.13 ,-0.06 ,0.09 ,0.08 ,0.09 ,0.32 ,0.07 ,0.34 ,0.05 ,0.79 ,0.09 ,0.20 ,0.06 ,0.26 ,0.05 ,189.7590812 ,22.6594981 ,-120.603 ,-20.743 ,51.089 ,132.61 ,thin ,K1III ,6.39 ,1.096 ,-16.70 ,-21.80 ,-29.00 ,4736.0 ,2.61 ,,10.69 ,
HIP 94487 ,-0.59 ,0.04 ,,,,,-0.48 ,0.07 ,-0.42 ,0.05 ,,,-0.59 ,0.06 ,-0.44 ,0.05 ,288.4731299 ,48.3492851 ,63.709 ,-190.704 ,226.061 ,302.54 ,thin ,K0 ,7.34 ,1.315 ,11.00 ,-1.50 ,3.40 ,4784.7 ,,,19.12 ,
2MASS 19492496+4118001 ,0.26 ,0.04 ,0.20 ,0.06 ,0.04 ,0.08 ,0.24 ,0.02 ,0.20 ,0.04 ,,,0.32 ,0.02 ,0.23 ,0.02 ,297.3539908 ,41.3000595 ,71.928 ,-139.037 ,137.524 ,208.37 ,N/A ,,,,,,,4911.2 ,4.58 ,0.77 ,0.75 ,
HIP 28954 ,0.00 ,0.08 ,0.04 ,0.22 ,-0.05 ,0.18 ,0.10 ,0.11 ,0.02 ,0.08 ,0.32 ,0.08 ,0.05 ,0.08 ,0.11 ,0.06 ,91.6686585 ,15.5421052 ,-0.428 ,14.705 ,4.092 ,15.27 ,thin ,G9V ,6.76 ,0.814 ,10.60 ,0.30 ,-10.80 ,5306.0 ,4.52 ,0.91 ,0.81 ,
HIP 94490 ,0.03 ,0.11 ,-0.10 ,0.09 ,-0.01 ,0.09 ,0.03 ,0.07 ,-0.08 ,0.05 ,,,-0.03 ,0.06 ,-0.06 ,0.05 ,288.4796451 ,57.7050796 ,8.578 ,-25.666 ,42.815 ,50.65 ,thin ,K2III ,5.00 ,1.156 ,15.20 ,-25.60 ,-10.30 ,4501.0 ,2.68 ,,9.08 ,
HIP 61724 ,0.13 ,0.02 ,-0.10 ,0.04 ,0.03 ,0.04 ,0.21 ,0.03 ,0.15 ,0.06 ,0.56 ,0.09 ,0.10 ,0.09 ,0.08 ,0.06 ,189.7804274 ,21.0625834 ,-76.899 ,-13.256 ,30.052 ,83.62 ,thin ,G9IIIb ,5.49 ,0.978 ,-24.80 ,-16.90 ,-21.00 ,4937.7 ,2.90 ,,8.70 ,
2MASS 19123474+5116322 ,0.06 ,0.04 ,0.05 ,0.09 ,0.04 ,0.09 ,0.04 ,0.07 ,0.05 ,0.05 ,,,0.09 ,0.06 ,0.00 ,0.05 ,288.1448014 ,51.2756341 ,156.265 ,-476.831 ,625.782 ,802.12 ,N/A ,,,,,,,5821.7 ,4.16 ,1.06 ,1.45 ,
2MASS 19045932+5014326 ,0.15 ,0.04 ,0.06 ,0.09 ,0.19 ,0.09 ,0.09 ,0.07 ,0.14 ,0.05 ,,,0.24 ,0.06 ,0.21 ,0.05 ,286.2471834 ,50.2424049 ,81.474 ,-279.576 ,350.043 ,455.34 ,N/A ,,,,,,,6218.0 ,4.24 ,1.11 ,1.39 ,
HIP 28963 ,-0.48 ,0.04 ,,,,,-0.49 ,0.07 ,-0.56 ,0.05 ,-0.43 ,0.09 ,-0.47 ,0.06 ,-0.28 ,0.05 ,91.6819406 ,72.6029742 ,-0.678 ,23.102 ,73.764 ,77.30 ,thin ,F2V ,7.40 ,0.393 ,-4.10 ,-27.20 ,-10.50 ,6660.5 ,4.09 ,1.44 ,1.58 ,
HIP 28964 ,-0.16 ,0.04 ,-0.29 ,0.09 ,,,-0.20 ,0.07 ,-0.26 ,0.05 ,,,0.02 ,0.06 ,0.21 ,0.05 ,91.6826447 ,-62.6826096 ,-0.360 ,12.271 ,-23.767 ,26.75 ,thin ,K4V(k) ,9.40 ,1.107 ,-20.80 ,-26.30 ,-3.10 ,4682.0 ,4.40 ,0.76 ,0.62 ,
HIP 94501 ,-0.15 ,0.04 ,,,,,-0.14 ,0.02 ,-0.09 ,0.07 ,0.21 ,0.09 ,-0.12 ,0.08 ,-0.16 ,0.04 ,288.5060866 ,59.5518230 ,7.163 ,-21.399 ,38.389 ,44.53 ,thin ,F8 ,7.97 ,0.606 ,-25.40 ,-12.10 ,-6.00 ,5885.5 ,4.43 ,1.07 ,1.02 ,
2MASS 05504470-2737050 ,0.14 ,0.04 ,0.15 ,0.09 ,0.16 ,0.09 ,0.14 ,0.07 ,0.12 ,0.05 ,,,0.17 ,0.06 ,0.11 ,0.05 ,87.6862733 ,-27.6180906 ,10.225 ,253.076 ,-132.514 ,285.85 ,N/A ,,,,,,,5358.5 ,4.46 ,0.94 ,0.94 ,
HIP 61739 ,0.00 ,0.02 ,-0.05 ,0.09 ,-0.04 ,0.04 ,-0.01 ,0.07 ,-0.01 ,0.05 ,,,0.00 ,0.06 ,-0.02 ,0.05 ,189.8112010 ,29.2354266 ,-36.613 ,-6.331 ,20.796 ,42.58 ,thin ,K0V ,8.99 ,0.865 ,50.80 ,-23.70 ,-3.70 ,5133.1 ,4.50 ,0.87 ,0.83 ,
HIP 61740 ,0.32 ,0.06 ,0.23 ,0.20 ,0.18 ,0.12 ,0.32 ,0.12 ,0.62 ,0.07 ,1.34 ,0.13 ,0.26 ,0.06 ,0.40 ,0.14 ,189.8115290 ,-7.9955650 ,-87.763 ,-15.177 ,-12.510 ,89.94 ,thin ,K2III ,4.66 ,1.240 ,-28.60 ,-14.20 ,-23.60 ,4445.0 ,2.20 ,,22.03 ,
HD 89484 ,-0.40 ,0.09 ,-0.29 ,0.36 ,-0.35 ,0.13 ,-0.13 ,0.18 ,-0.21 ,0.04 ,0.43 ,0.09 ,-0.38 ,0.16 ,-0.27 ,0.18 ,,,,,,,N/A ,,,,,,,,1.92 ,,,
2MASS 19392772+4617090 ,0.10 ,0.04 ,-0.04 ,0.09 ,-0.25 ,0.09 ,0.10 ,0.07 ,0.07 ,0.05 ,,,0.07 ,0.06 ,0.11 ,0.05 ,294.8654815 ,46.2858170 ,265.797 ,-573.515 ,661.141 ,914.70 ,N/A ,,,,,,,5401.8 ,4.54 ,0.93 ,0.95 ,
HIP 61743 ,0.18 ,0.06 ,0.21 ,0.08 ,0.23 ,0.09 ,0.24 ,0.08 ,0.25 ,0.04 ,0.30 ,0.19 ,0.24 ,0.06 ,0.34 ,0.05 ,189.8156852 ,-32.7260816 ,-37.427 ,-6.475 ,-24.409 ,45.15 ,thin ,K0IV/V ,8.90 ,0.893 ,-11.00 ,2.70 ,-21.40 ,5130.0 ,4.46 ,0.88 ,0.87 ,
2MASS 19274421+4808299 ,0.02 ,0.04 ,0.00 ,0.09 ,0.01 ,0.09 ,0.02 ,0.07 ,-0.03 ,0.05 ,,,0.04 ,0.06 ,0.01 ,0.05 ,291.9342626 ,48.1416560 ,269.966 ,-670.403 ,806.662 ,1083.06 ,N/A ,,,,,,,5376.2 ,4.47 ,0.97 ,0.95 ,
