# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
0.024	0.022	${146}_{-2}^{+2}$	${8.3}_{-0.5}^{+0.6}$	${0.17}_{-0.02}^{+0.02}$	${2.4}_{-0.3}^{+0.2}$	${0.31}_{-0.04}^{+0.04}$	${0.21}_{-0.04}^{+0.04}$	${0.07}_{-0.04}^{+0.04}$	${0.05}_{-0.03}^{+0.03}$	${0.07}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.29}_{-0.04}^{+0.04}$	${0.20}_{-0.03}^{+0.03}$	${0.09}_{-0.06}^{+0.05}$	
0.043	0.042	${150}_{-2}^{+2}$	${7.9}_{-0.5}^{+0.5}$	${0.14}_{-0.02}^{+0.02}$	${2.6}_{-0.2}^{+0.2}$	${0.28}_{-0.05}^{+0.04}$	${0.20}_{-0.04}^{+0.04}$	${0.05}_{-0.04}^{+0.04}$	${0.03}_{-0.04}^{+0.04}$	${0.06}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.23}_{-0.04}^{+0.04}$	${0.18}_{-0.03}^{+0.03}$	${0.01}_{-0.07}^{+0.07}$	
0.059	0.058	${149}_{-2}^{+2}$	${7.5}_{-0.5}^{+0.5}$	${0.13}_{-0.02}^{+0.02}$	${2.7}_{-0.2}^{+0.2}$	${0.26}_{-0.05}^{+0.05}$	${0.19}_{-0.04}^{+0.04}$	${0.03}_{-0.04}^{+0.04}$	${0.03}_{-0.04}^{+0.04}$	${0.05}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.20}_{-0.05}^{+0.05}$	${0.18}_{-0.03}^{+0.03}$	${0.01}_{-0.06}^{+0.06}$	
0.084	0.083	${152}_{-2}^{+2}$	${6.8}_{-0.5}^{+0.5}$	${0.10}_{-0.03}^{+0.03}$	${3.0}_{-0.3}^{+0.3}$	${0.18}_{-0.07}^{+0.06}$	${0.18}_{-0.05}^{+0.05}$	${0.02}_{-0.05}^{+0.04}$	${0.02}_{-0.04}^{+0.04}$	${0.04}_{-0.05}^{+0.05}$	$-{0.03}_{-0.03}^{+0.03}$	${0.16}_{-0.06}^{+0.06}$	${0.15}_{-0.03}^{+0.03}$	$-{0.06}_{-0.06}^{+0.07}$	
0.150	0.150	${156}_{-3}^{+3}$	${6.7}_{-0.9}^{+0.8}$	${0.04}_{-0.05}^{+0.05}$	${2.8}_{-0.3}^{+0.3}$	${0.20}_{-0.07}^{+0.07}$	${0.18}_{-0.06}^{+0.06}$	$-{0.00}_{-0.06}^{+0.05}$	${0.01}_{-0.04}^{+0.04}$	${0.03}_{-0.06}^{+0.06}$	$-{0.02}_{-0.04}^{+0.03}$	${0.09}_{-0.09}^{+0.09}$	${0.14}_{-0.04}^{+0.04}$	$-{0.08}_{-0.08}^{+0.08}$	
0.267	0.267	${169}_{-3}^{+3}$	${7.2}_{-0.6}^{+0.6}$	$-{0.10}_{-0.03}^{+0.03}$	${2.8}_{-0.3}^{+0.3}$	${0.18}_{-0.06}^{+0.06}$	${0.13}_{-0.05}^{+0.05}$	$-{0.01}_{-0.05}^{+0.05}$	$-{0.00}_{-0.03}^{+0.03}$	$-{0.01}_{-0.06}^{+0.06}$	${0.00}_{-0.02}^{+0.02}$	$-{0.00}_{-0.07}^{+0.07}$	${0.12}_{-0.03}^{+0.03}$	$-{0.20}_{-0.06}^{+0.07}$	
0.417	0.417	${168}_{-3}^{+3}$	${7.3}_{-0.5}^{+0.5}$	$-{0.14}_{-0.02}^{+0.02}$	${2.5}_{-0.2}^{+0.2}$	${0.24}_{-0.04}^{+0.04}$	${0.11}_{-0.04}^{+0.04}$	$-{0.04}_{-0.04}^{+0.04}$	$-{0.06}_{-0.03}^{+0.03}$	$-{0.11}_{-0.05}^{+0.05}$	${0.03}_{-0.02}^{+0.02}$	$-{0.09}_{-0.06}^{+0.05}$	${0.10}_{-0.02}^{+0.02}$	$-{0.15}_{-0.07}^{+0.08}$	
0.625	0.625	${163}_{-3}^{+3}$	${7.9}_{-0.9}^{+0.9}$	$-{0.25}_{-0.02}^{+0.02}$	${1.8}_{-0.3}^{+0.3}$	${0.27}_{-0.05}^{+0.04}$	${0.12}_{-0.04}^{+0.03}$	$-{0.09}_{-0.04}^{+0.04}$	$-{0.09}_{-0.03}^{+0.03}$	$-{0.13}_{-0.04}^{+0.05}$	${0.01}_{-0.02}^{+0.02}$	${0.04}_{-0.05}^{+0.04}$	${0.10}_{-0.02}^{+0.02}$	$-{0.10}_{-0.16}^{+0.16}$	
0.875	0.875	${156}_{-5}^{+5}$	${8.2}_{-0.8}^{+0.8}$	$-{0.33}_{-0.02}^{+0.02}$	${2.2}_{-0.2}^{+0.2}$	${0.27}_{-0.05}^{+0.05}$	${0.08}_{-0.03}^{+0.03}$	$-{0.05}_{-0.05}^{+0.05}$	$-{0.04}_{-0.03}^{+0.03}$	$-{0.19}_{-0.04}^{+0.04}$	$-{0.02}_{-0.02}^{+0.02}$	$-{0.01}_{-0.05}^{+0.05}$	${0.11}_{-0.02}^{+0.02}$	${0.03}_{-0.15}^{+0.15}$	
															
