,Star,Pop,Nplanet,Maxmass,Teff,logg,vmic,[Fe/H]3L,e_[Fe/H]3L,[Fe/H]1L,e_[Fe/H]1L,[C/H]3N,e_[C/H]3N,[C/H]1N,e_[C/H]1N,[C/H]3L,e_[C/H]3L,[C/H]1L,e_[C/H]1L,[O/H]3N,e_[O/H]3N,[O/H]1N,e_[O/H]1N,[O/H]3L,e_[O/H]3L,[O/H]1L,e_[O/H]1L,SimbadName,_RA,_DE,FE_H,FE_H_err,O_H,O_H_err,C_H,C_H_err,C_O,C_O_err,O_FE,O_FE_err
31,hd233511  ,high-alpha,0,0.0,6125,4.21,1.2,-1.5702,0.0215,-1.603,0.0204,,,,,,,,,-0.9459,0.0275,-0.9807,0.0267,-1.0002,0.0302,-1.0137,0.029,HD233511         ,124.84405,54.08601,-1.5702,0.0215,-0.9459,0.0275,,,,,0.6243000000000001,0.049
32,g18-39  ,high-alpha,0,0.0,6112,4.23,1.44,-1.3939,0.0156,-1.4188,0.0044,-1.311,0.0697,-1.3005,0.047,-1.2755,0.0835,-1.2681,0.0639,-0.7999,0.0514,-0.8203,0.0566,-0.813,0.0496,-0.837,0.0483,G18-39           ,334.65211,8.44582,-1.3939,0.0156,-0.7999,0.0514,-1.311,0.0697,-0.5110999999999999,0.1211,0.5939999999999999,0.067
33,g188-22  ,high-alpha,0,0.0,6116,4.2,1.42,-1.32,0.0159,-1.3388,0.0179,-1.2149,0.0124,-1.2026,0.0165,-1.1818,0.0103,-1.179,0.015,-0.6754,0.0091,-0.6932,0.0122,-0.6481,0.0088,-0.6823,0.0123,G188-22          ,325.98802,27.39,-1.32,0.0159,-0.6754,0.0091,-1.2149,0.0124,-0.5395000000000001,0.0215,0.6446000000000001,0.025
34,g121-12  ,low-alpha,0,0.0,6041,4.25,1.26,-0.929,0.0107,-0.941,0.0107,-1.1239,0.0025,-1.1063,0.0016,-1.108,0.0041,-1.0945,0.0005,,,,,,,,,G121-12          ,176.14877,25.53658,-0.929,0.0107,,,-1.1239,0.0025,,,,
35,g119-64  ,low-alpha,0,0.0,6333,4.14,1.4,-1.5332,0.0269,-1.5466,0.0283,-1.5905,0.1677,-1.5723,0.1722,-1.5199,0.1564,-1.525,0.1648,-1.0345,0.024,-1.0751,0.0241,-1.0506,0.026,-1.0733,0.0266,G119-64          ,168.2,35.72886,-1.5332,0.0269,-1.0345,0.024,-1.5905,0.1677,-0.556,0.19169999999999998,0.4986999999999999,0.0509
36,g66-22  ,low-alpha,0,0.0,5297,4.46,0.78,-0.9038,0.0223,-0.8977,0.0237,-0.9956,0.0413,-0.9849,0.0378,-0.9957,0.0425,-0.9845,0.0385,-0.4696,0.0415,-0.4744,0.0407,-0.6088,0.0404,-0.5897,0.0393,G66-22           ,220.82488,5.82771,-0.9038,0.0223,-0.4696,0.0415,-0.9956,0.0413,-0.526,0.08280000000000001,0.43420000000000003,0.0638
37,g150-40  ,low-alpha,0,0.0,6080,4.11,1.31,-0.8133,0.0194,-0.8217,0.0189,-1.0974,0.077,-1.0832,0.072,-1.0796,0.0781,-1.07,0.073,-0.6533,0.0327,-0.6579,0.0352,-0.6067,0.0347,-0.632,0.0379,G150-40          ,207.21728,27.6693,-0.8133,0.0194,-0.6533,0.0327,-1.0974,0.077,-0.44409999999999994,0.10969999999999999,0.16000000000000003,0.0521
38,hd59392  ,low-alpha,0,0.0,6137,3.88,1.73,-1.6152,0.0095,-1.6375,0.0101,-1.6697,0.0724,-1.6578,0.0764,-1.5958,0.064,-1.608,0.071,-1.0629,0.0156,-1.1024,0.0086,-1.0907,0.0154,-1.1223,0.0086,HD59392          ,112.01342,-38.01147,-1.6152,0.0095,-1.0629,0.0156,-1.6697,0.0724,-0.6068,0.08800000000000001,0.5523,0.025099999999999997
39,g161-73  ,low-alpha,0,0.0,6108,3.99,1.26,-1.0421,0.0265,-1.0501,0.0291,-1.2065,0.1677,-1.1887,0.1722,-1.1876,0.1564,-1.175,0.1648,,,,,,,,,G161-73          ,146.40763,-4.67458,-1.0421,0.0265,,,-1.2065,0.1677,,,,
40,g170-56  ,low-alpha,0,0.0,6112,4.11,1.39,-0.9337,0.0144,-0.9473,0.0134,-0.9837,0.0084,-0.9731,0.0115,-0.9657,0.007,-0.9595,0.0105,-0.6365,0.0053,-0.6505,0.0069,-0.5787,0.0064,-0.6163,0.0041,G170-56          ,264.56504,18.55708,-0.9337,0.0144,-0.6365,0.0053,-0.9837,0.0084,-0.34720000000000006,0.0137,0.2972,0.0197
41,g176-53  ,low-alpha,0,0.0,5615,4.52,0.9,-1.3324,0.0381,-1.3557,0.0437,,,,,,,,,-0.7375,0.0205,-0.7425,0.0177,-0.8622,0.0067,-0.8455,0.0045,G176-53          ,176.64648,50.88186,-1.3324,0.0381,-0.7375,0.0205,,,,,0.5949,0.0586
42,hd163810  ,low-alpha,0,0.0,5592,4.61,1.17,-1.1948,0.0166,-1.2224,0.0178,-1.1899,0.1677,-1.1726,0.1722,-1.1846,0.1564,-1.167,0.1648,-0.6727,0.045,-0.6837,0.0492,-0.8016,0.0649,-0.7905,0.0655,HD163810         ,269.66022,-13.09713,-1.1948,0.0166,-0.6727,0.045,-1.1899,0.1677,-0.5172,0.2127,0.5221000000000001,0.0616
43,hd219617  ,low-alpha,0,0.0,5983,4.28,1.42,-1.4381,0.0154,-1.463,0.0138,-1.5771,0.1677,-1.5549,0.1722,-1.5295,0.1564,-1.522,0.1648,-0.8668,0.0195,-0.8946,0.0228,-0.9387,0.0252,-0.952,0.0276,HD219617         ,349.27102,-13.851,-1.4381,0.0154,-0.8668,0.0195,-1.5771,0.1677,-0.7102999999999999,0.18719999999999998,0.5712999999999999,0.0349
44,g53-41  ,low-alpha,0,0.0,5956,4.34,1.35,-1.1612,0.0187,-1.2507,0.018,-1.3883,0.0222,-1.4238,0.0101,-1.3454,0.0468,-1.3782,0.0025,-0.9514,0.0392,-0.9596,0.0377,-1.0352,0.035,-1.0224,0.0325,G53-41           ,156.85103,1.40005,-1.1612,0.0187,-0.9514,0.0392,-1.3883,0.0222,-0.43690000000000007,0.061399999999999996,0.2098,0.0579
45,hd3567  ,low-alpha,0,0.0,6180,4.01,1.4,-1.1777,0.0105,-1.1933,0.012,-1.2946,0.0002,-1.2836,0.0045,-1.2661,0.0017,-1.263,0.003,-0.8402,0.0091,-0.8548,0.0115,-0.8026,0.0048,-0.8283,0.0096,HD3567           ,9.63311,-8.30928,-1.1777,0.0105,-0.8402,0.0091,-1.2946,0.0002,-0.4544,0.009300000000000001,0.3375,0.0196
46,cd-453283  ,low-alpha,0,0.0,5685,4.61,0.95,-0.9259,0.0119,-0.9377,0.0138,-1.0406,0.0579,-1.0245,0.0532,-1.0354,0.059,-1.02,0.054,-0.4999,0.0215,-0.5086,0.0229,-0.6005,0.0303,-0.597,0.0307,CD-453283        ,113.57749,-45.27858,-0.9259,0.0119,-0.4999,0.0215,-1.0406,0.0579,-0.5407,0.0794,0.42599999999999993,0.0334
47,cd-514628  ,low-alpha,0,0.0,6296,4.29,1.31,-1.3414,0.0251,-1.3557,0.0261,-1.4471,0.0993,-1.4328,0.0922,-1.3997,0.0911,-1.4005,0.0875,-0.9399,0.0013,-0.9744,0.005,-0.9638,0.0035,-0.9817,0.0059,CD-514628        ,154.31199,-52.48853,-1.3414,0.0251,-0.9399,0.0013,-1.4471,0.0993,-0.5072000000000001,0.1006,0.40149999999999997,0.0264
